trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6,True,"{'a': 0.3, 'e': 0.0}",35,21,28.61401744134636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.3, 'e': 0.0}",30,12,37.6187611431986,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.3, 'e': 0.0}",30,22,15.023572538320117,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.3, 'e': 0.0}",20,14,13.972152135095886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.3, 'e': 0.0}",20,16,7.900260149114941,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.3, 'e': 0.0}",30,15,28.334714925832326,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.3, 'e': 0.0}",25,15,18.055863321281223,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.3, 'e': 0.0}",30,12,31.133614139461795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.3, 'e': 0.0}",25,15,22.57019358722409,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.3, 'e': 0.0}",20,13,12.2175632984613,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.3, 'e': 0.0}",20,16,9.07695723196603,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.3, 'e': 0.0}",25,17,11.415356045432036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.3, 'e': 0.0}",30,6,41.07102075235196,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.3, 'e': 0.0}",25,10,23.291680913996814,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.3, 'e': 0.0}",20,9,18.701042115318554,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
